CCAligned	v1	174595	174595/174598	99.99
GlobalVoices	v2018q4	134	1/174598	0
GNOME	v1	1554	0/174598	0
GoURMET	v2	114	11/174598	0
NLLB	v1	1502866	317/174598	.18
Tatoeba	v20190709	34	0/174598	0
Tatoeba	v2020-05-31	35	0/174598	0
Tatoeba	v2020-11-09	36	1/174598	0
Tatoeba	v2021-03-10	36	1/174598	0
Tatoeba	v2021-07-22	36	1/174598	0
Tatoeba	v2022-03-03	36	1/174598	0
Tatoeba	v2023-04-12	40	1/174598	0
Ubuntu	v14.10	124	0/174598	0
wikimedia	v20210402	7575	1/174598	0
wikimedia	v20230407	11352	1/174598	0
XLEnt	v1.1	48990	58/174598	.03
XLEnt	v1.2	48990	58/174598	.03
XLEnt	v1	48990	58/174598	.03
