GNOME	v1	5474	261/35265	.74
NLLB	v1	30902595	27/35265	.07
QED	v2.0a	3310	0/35265	0
Tanzil	v1	137534	0/35265	0
Tatoeba	v20190709	454	0/35265	0
Tatoeba	v2020-05-31	457	0/35265	0
Tatoeba	v2020-11-09	459	0/35265	0
Tatoeba	v2021-03-10	460	0/35265	0
Tatoeba	v2021-07-22	460	0/35265	0
Tatoeba	v2022-03-03	464	0/35265	0
Tatoeba	v2023-04-12	482	0/35265	0
Tatoeba	v2	232	0/35265	0
TED2020	v1	6166	0/35265	0
Ubuntu	v14.10	2124	24/35265	.06
wikimedia	v20190628	71	0/35265	0
wikimedia	v20210402	5222	3/35265	0
wikimedia	v20230407	899002	107/35265	.30
