CCMatrix	v1	17388298	1098/36411	3.01
ELRC_2922	v1	963	0/36411	0
ELRC-3053-wikipedia_health	v1	963	0/36411	0
ELRC-wikipedia_health	v1	963	0/36411	0
GNOME	v1	2725	0/36411	0
HPLT	v1	902721	628/36411	1.72
KDE4	v2	139666	9/36411	.02
Mozilla-I10n	v1	24893	15/36411	.04
MultiHPLT	v1	902721	628/36411	1.72
MultiParaCrawl	v7.1	927839	203/36411	.55
MultiParaCrawl	v8	5894806	1408/36411	3.86
MultiParaCrawl	v9b	1794516	520/36411	1.42
MultiParaCrawl	v9	1794516	520/36411	1.42
NeuLab-TedTalks	v1	12345	10136/36411	27.83
NLLB	v1	102801348	4032/36411	11.07
OpenSubtitles	v2012	636	4/36411	.01
OpenSubtitles	v2013	15	0/36411	0
OpenSubtitles	v2016	206277	388/36411	1.06
OpenSubtitles	v2018	255638	427/36411	1.17
ParaCrawl	v7.1	927839	203/36411	.55
ParaCrawl	v8	5894806	1408/36411	3.86
ParaCrawl	v9	1794516	520/36411	1.42
QED	v2.0a	38350	10025/36411	27.53
Tatoeba	v20190709	4486	17/36411	.04
Tatoeba	v2020-05-31	4503	18/36411	.04
Tatoeba	v2020-11-09	4625	18/36411	.04
Tatoeba	v2021-03-10	4738	18/36411	.04
Tatoeba	v2021-07-22	4751	18/36411	.04
Tatoeba	v2022-03-03	4752	18/36411	.04
Tatoeba	v2023-04-12	4823	18/36411	.04
Tatoeba	v2	3995	16/36411	.04
Ubuntu	v14.10	45	0/36411	0
WikiMatrix	v1	1961204	25/36411	.06
wikimedia	v20190628	2557	2/36411	0
wikimedia	v20210402	250515	15/36411	.04
wikimedia	v20230407	399397	19/36411	.05
XLEnt	v1.1	1287090	9/36411	.02
XLEnt	v1.2	1287090	9/36411	.02
XLEnt	v1	1287090	9/36411	.02
